Recording timestamp	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording start time	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision (mm)	Average calibration accuracy (degrees)	Average calibration precision (degrees)	Average calibration accuracy (pixels)	Average calibration precision (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (RCSmm)	Eye position left Y (RCSmm)	Eye position left Z (RCSmm)	Eye position right X (RCSmm)	Eye position right Y (RCSmm)	Eye position right Z (RCSmm)	Gaze point left X (RCSmm)	Gaze point left Y (RCSmm)	Gaze point right X (RCSmm)	Gaze point right Y (RCSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (RCSpx)	Presented Media position Y (RCSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	AOI hit [bear_raindeer - correct]	AOI hit [bear_raindeer - foil1]	AOI hit [bear_raindeer - foil2]	
98821	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42			ImageStimulusEnd	instr_search																																		bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4451	932	439	0,4803	0,4276	0	0	0	
98821	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42			ImageStimulusStart	bear_raindeer																																		bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4451	932	439	0,4803	0,4276	0	0	0	
98826	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402212080			932	439	916	421	949	456	-0,07320	-0,09710	-0,99258	0,03051	-0,08334	-0,99605	2,60	2,66	Valid	Valid	150,4	166,8	554,8	214,0	167,8	550,0	167,4	77,0	173,5	83,4	0,4803	0,4276	0,4684	0,4152	0,4921	0,4401	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4451	932	439	0,4803	0,4276	0	0	0	
98842	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402228735			811	434	805	413	818	456	-0,11573	-0,09761	-0,98847	-0,00581	-0,08155	-0,99665	2,62	2,70	Valid	Valid	150,3	167,6	557,4	214,2	168,6	552,6	147,1	75,4	149,5	83,4	0,3937	0,4246	0,3890	0,4090	0,3983	0,4401	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4452	811	434	0,3937	0,4246	0	0	0	
98859	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402245389			787	423	787	408	788	438	-0,12558	-0,09109	-0,98789	-0,01171	-0,07953	-0,99676	2,64	2,69	Valid	Valid	150,4	167,3	556,8	214,2	168,3	552,0	143,8	74,5	144,0	80,0	0,3767	0,4163	0,3764	0,4056	0,3771	0,4270	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4453	787	423	0,3767	0,4163	0	0	0	
98876	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402262044			793	417	790	401	795	432	-0,12351	-0,08904	-0,98834	-0,01074	-0,07721	-0,99696	2,64	2,70	Valid	Valid	150,5	167,2	556,7	214,3	168,1	551,9	144,5	73,4	145,3	79,0	0,3805	0,4120	0,3789	0,4010	0,3821	0,4230	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4454	793	417	0,3805	0,4120	0	0	0	
98892	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402278699			804	424	792	399	816	449	-0,11698	-0,09439	-0,98864	-0,01032	-0,07624	-0,99704	2,64	2,73	Valid	Valid	150,6	167,0	556,5	214,4	168,0	551,7	144,8	73,0	149,1	82,1	0,3886	0,4174	0,3802	0,3995	0,3969	0,4352	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4455	804	424	0,3886	0,4174	0	0	0	
98909	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402295354			802	422	789	404	816	440	-0,11723	-0,09125	-0,98890	-0,01175	-0,07776	-0,99690	2,65	2,73	Valid	Valid	150,7	167,0	556,6	214,5	168,0	551,7	144,2	73,8	149,1	80,4	0,3872	0,4155	0,3776	0,4027	0,3969	0,4283	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4456	802	422	0,3872	0,4155	0	0	0	
98926	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402312008			784	402	783	399	784	405	-0,12772	-0,07984	-0,98859	-0,01376	-0,07626	-0,99699	2,62	2,69	Valid	Valid	150,8	167,0	556,3	214,6	167,9	551,5	143,2	73,0	143,4	74,0	0,3741	0,4015	0,3737	0,3994	0,3745	0,4036	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4457	784	402	0,3741	0,4015	0	0	0	
98942	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402328663			789	399	787	391	790	407	-0,12602	-0,08026	-0,98878	-0,01248	-0,07351	-0,99722	2,63	2,68	Valid	Valid	150,9	166,9	555,4	214,6	167,7	550,6	143,9	71,5	144,4	74,4	0,3775	0,3993	0,3766	0,3937	0,3785	0,4049	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4458	789	399	0,3775	0,3993	0	0	0	
98959	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402345318			802	410	799	394	804	427	-0,12163	-0,08690	-0,98876	-0,00867	-0,07435	-0,99719	2,64	2,70	Valid	Valid	150,9	166,8	554,8	214,6	167,7	550,0	146,1	72,0	146,9	78,1	0,3868	0,4075	0,3852	0,3955	0,3884	0,4194	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4459	802	410	0,3868	0,4075	0	0	0	
98976	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402361972			804	414	798	401	810	427	-0,11969	-0,08678	-0,98901	-0,00911	-0,07665	-0,99702	2,64	2,72	Valid	Valid	151,0	166,8	554,4	214,6	167,6	549,6	146,0	73,3	148,1	78,1	0,3888	0,4100	0,3846	0,4006	0,3930	0,4193	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4460	804	414	0,3888	0,4100	0	0	0	
98992	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402378627			809	428	799	416	819	441	-0,11707	-0,09145	-0,98890	-0,00921	-0,08156	-0,99663	2,66	2,74	Valid	Valid	151,1	166,8	554,4	214,7	167,6	549,6	146,0	76,0	149,6	80,6	0,3918	0,4203	0,3847	0,4112	0,3990	0,4294	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4461	809	428	0,3918	0,4203	0	0	0	
99009	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402395282			802	429	794	422	810	437	-0,11995	-0,08983	-0,98871	-0,01070	-0,08356	-0,99645	2,67	2,74	Valid	Valid	151,1	166,7	554,1	214,7	167,5	549,3	145,2	77,2	148,1	79,8	0,3872	0,4210	0,3816	0,4158	0,3928	0,4262	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4462	802	429	0,3872	0,4210	0	0	0	
99026	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402411936			792	410	785	400	799	419	-0,12363	-0,08405	-0,98876	-0,01395	-0,07629	-0,99699	2,66	2,73	Valid	Valid	151,2	166,7	554,2	214,7	167,5	549,4	143,4	73,1	146,0	76,6	0,3798	0,4068	0,3747	0,4000	0,3850	0,4137	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4463	792	410	0,3798	0,4068	0	0	0	
99042	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402428591			792	408	787	388	798	428	-0,12386	-0,08684	-0,98849	-0,01325	-0,07229	-0,99730	2,66	2,75	Valid	Valid	151,1	166,6	554,0	214,7	167,4	549,2	143,8	71,0	145,9	78,3	0,3802	0,4059	0,3761	0,3916	0,3843	0,4202	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4464	792	408	0,3802	0,4059	0	0	0	
99059	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402445246			793	425	793	403	793	447	-0,12560	-0,09289	-0,98772	-0,01105	-0,07701	-0,99697	2,67	2,76	Valid	Valid	151,1	166,5	553,8	214,7	167,3	549,0	145,0	73,7	144,9	81,8	0,3807	0,4181	0,3809	0,4023	0,3804	0,4339	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4465	793	425	0,3807	0,4181	0	0	0	
99076	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402461900			767	420	766	405	769	435	-0,13298	-0,08816	-0,98719	-0,01987	-0,07676	-0,99685	2,70	2,78	Valid	Valid	151,0	166,0	552,3	214,3	166,7	547,5	140,0	74,0	140,6	79,6	0,3624	0,4143	0,3612	0,4033	0,3636	0,4252	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4466	767	420	0,3624	0,4143	0	0	0	
99092	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402478555			769	405	760	393	778	417	-0,13021	-0,08258	-0,98804	-0,02173	-0,07308	-0,99709	2,70	2,77	Valid	Valid	150,9	166,1	552,5	214,3	166,9	547,7	138,8	71,8	142,1	76,2	0,3633	0,4035	0,3568	0,3947	0,3697	0,4122	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4467	769	405	0,3633	0,4035	0	0	0	
99109	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402495210			573	239	564	218	583	259	-0,19282	-0,03048	-0,98076	-0,08574	-0,01568	-0,99619	2,73	2,83	Valid	Valid	150,7	166,2	553,0	214,3	167,1	548,3	103,1	39,9	106,5	47,4	0,2239	0,2848	0,2173	0,2702	0,2304	0,2995	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4468	573	239	0,2239	0,2848	0	1	0	
99126	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402511864			567	241	553	219	581	264	-0,19297	-0,03189	-0,98069	-0,08908	-0,01564	-0,99590	2,72	2,82	Valid	Valid	150,5	166,1	553,1	214,1	167,0	548,4	101,0	40,0	106,2	48,2	0,2191	0,2866	0,2091	0,2704	0,2292	0,3028	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4469	567	241	0,2191	0,2866	0	1	0	
99142	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402528519			574	241	567	214	581	268	-0,19260	-0,03310	-0,98072	-0,08411	-0,01383	-0,99636	2,74	2,82	Valid	Valid	150,3	166,0	552,9	213,8	166,9	548,2	103,6	39,1	106,1	49,0	0,2242	0,2864	0,2193	0,2669	0,2290	0,3058	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4470	574	241	0,2242	0,2864	0	1	0	
99159	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402545174			579	241	576	214	582	268	-0,19197	-0,03317	-0,98084	-0,08089	-0,01406	-0,99662	2,76	2,85	Valid	Valid	150,2	166,1	552,9	213,7	167,0	548,2	105,3	39,1	106,4	49,0	0,2279	0,2863	0,2259	0,2671	0,2299	0,3056	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4471	579	241	0,2279	0,2863	0	1	0	
99176	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402561829			582	238	577	213	586	264	-0,19052	-0,03223	-0,98115	-0,08043	-0,01396	-0,99666	2,78	2,87	Valid	Valid	150,2	166,3	553,0	213,6	167,2	548,3	105,5	38,9	107,1	48,2	0,2298	0,2845	0,2266	0,2662	0,2329	0,3028	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4472	582	238	0,2298	0,2845	0	1	0	
99192	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402578483			580	246	575	222	586	271	-0,19032	-0,03485	-0,98110	-0,08101	-0,01724	-0,99656	2,79	2,88	Valid	Valid	150,1	166,5	553,1	213,5	167,4	548,3	105,1	40,5	107,1	49,5	0,2289	0,2901	0,2250	0,2725	0,2328	0,3076	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4473	580	246	0,2289	0,2901	0	1	0	
99209	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402595138			563	247	557	225	569	268	-0,19558	-0,03405	-0,98010	-0,08681	-0,01866	-0,99605	2,80	2,91	Valid	Valid	150,0	166,6	553,2	213,4	167,5	548,5	101,8	41,2	104,0	49,0	0,2163	0,2904	0,2120	0,2753	0,2205	0,3056	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4474	563	247	0,2163	0,2904	0	1	0	
99226	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402611793			564	238	558	220	570	257	-0,19503	-0,03069	-0,98032	-0,08628	-0,01680	-0,99613	2,80	2,90	Valid	Valid	149,9	166,6	553,4	213,3	167,6	548,7	101,9	40,1	104,2	47,0	0,2170	0,2846	0,2126	0,2711	0,2213	0,2980	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4475	564	238	0,2170	0,2846	0	1	0	
99242	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402628447			574	243	572	213	576	273	-0,19275	-0,03611	-0,98058	-0,08158	-0,01477	-0,99656	2,82	2,89	Valid	Valid	149,8	166,7	554,0	213,3	167,7	549,3	104,5	38,9	105,4	50,0	0,2243	0,2880	0,2226	0,2664	0,2260	0,3096	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4476	574	243	0,2243	0,2880	0	1	0	
99259	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402645102			577	248	577	216	578	281	-0,19222	-0,03857	-0,98059	-0,07963	-0,01560	-0,99670	2,84	2,91	Valid	Valid	149,8	166,7	554,2	213,3	167,7	549,5	105,5	39,4	105,6	51,4	0,2266	0,2916	0,2265	0,2683	0,2268	0,3150	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4477	577	248	0,2266	0,2916	0	1	0	
99276	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402661757			505	233	488	212	522	254	-0,20938	-0,02886	-0,97741	-0,10825	-0,01368	-0,99403	2,86	2,94	Valid	Valid	149,5	166,2	552,9	212,9	167,2	548,2	89,3	38,8	95,4	46,4	0,1752	0,2808	0,1631	0,2660	0,1872	0,2955	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4478	505	233	0,1752	0,2808	0	1	0	
99292	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402678411			460	226	434	198	486	254	-0,22029	-0,02833	-0,97502	-0,12555	-0,00836	-0,99205	2,86	2,94	Valid	Valid	149,3	165,9	551,9	212,5	166,9	547,2	79,4	36,2	88,9	46,4	0,1431	0,2757	0,1246	0,2557	0,1617	0,2956	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4479	460	226	0,1431	0,2757	0	1	0	
99309	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402695066			445	223	427	192	463	254	-0,22734	-0,02874	-0,97339	-0,12778	-0,00691	-0,99178	2,84	2,92	Valid	Valid	149,4	166,2	553,0	212,7	167,2	548,3	78,1	35,1	84,6	46,4	0,1323	0,2735	0,1195	0,2514	0,1450	0,2955	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4480	445	223	0,1323	0,2735	0	1	0	
99325	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402711721			445	217	431	185	459	250	-0,22858	-0,02767	-0,97313	-0,12639	-0,00468	-0,99197	2,82	2,91	Valid	Valid	149,3	166,2	553,3	212,7	167,3	548,7	78,8	33,8	83,8	45,7	0,1320	0,2696	0,1223	0,2463	0,1418	0,2929	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4481	445	217	0,1320	0,2696	0	1	0	
99342	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402728375			447	209	438	178	456	241	-0,22937	-0,02470	-0,97303	-0,12402	-0,00235	-0,99228	2,83	2,90	Valid	Valid	149,3	166,2	553,5	212,6	167,3	548,8	80,1	32,5	83,3	44,1	0,1335	0,2638	0,1272	0,2413	0,1397	0,2864	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4482	447	209	0,1335	0,2638	0	1	0	
99359	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402745030			447	208	440	181	454	235	-0,22976	-0,02283	-0,97298	-0,12338	-0,00362	-0,99235	2,82	2,90	Valid	Valid	149,2	166,3	553,6	212,6	167,3	548,9	80,4	33,2	83,0	42,9	0,1335	0,2630	0,1284	0,2439	0,1386	0,2821	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4483	447	208	0,1335	0,2630	0	1	0	
99375	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402761685			450	213	439	181	462	245	-0,22717	-0,02620	-0,97350	-0,12361	-0,00363	-0,99232	2,79	2,89	Valid	Valid	149,1	166,3	553,5	212,5	167,4	548,8	80,2	33,2	84,5	44,8	0,1360	0,2666	0,1277	0,2438	0,1443	0,2894	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4484	450	213	0,1360	0,2666	0	1	0	
99392	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402778339			457	218	445	181	469	254	-0,22493	-0,02933	-0,97393	-0,12152	-0,00378	-0,99258	2,79	2,90	Valid	Valid	149,1	166,4	553,5	212,4	167,5	548,8	81,3	33,2	85,7	46,5	0,1406	0,2699	0,1320	0,2438	0,1491	0,2959	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4485	457	218	0,1406	0,2699	0	1	0	
99409	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402794994			453	226	443	185	463	266	-0,22644	-0,03339	-0,97345	-0,12186	-0,00521	-0,99253	2,78	2,88	Valid	Valid	149,0	166,4	553,5	212,4	167,6	548,9	81,0	33,9	84,7	48,7	0,1381	0,2756	0,1310	0,2467	0,1453	0,3046	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4486	453	226	0,1381	0,2756	0	1	0	
99425	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402811649			440	219	431	185	448	253	-0,23097	-0,02890	-0,97253	-0,12578	-0,00520	-0,99204	2,76	2,84	Valid	Valid	148,9	166,4	553,5	212,3	167,6	548,8	78,8	33,9	82,0	46,2	0,1283	0,2706	0,1221	0,2466	0,1346	0,2947	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4487	440	219	0,1283	0,2706	0	1	0	
99442	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402828304			438	217	425	185	451	248	-0,23021	-0,02736	-0,97276	-0,12760	-0,00512	-0,99181	2,74	2,83	Valid	Valid	148,9	166,4	553,4	212,3	167,5	548,8	77,7	33,9	82,4	45,3	0,1270	0,2690	0,1178	0,2466	0,1362	0,2914	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4488	438	217	0,1270	0,2690	0	1	0	
99459	Lund screen-based demo project	2018-11-29	Participant1		Recording1	2018-11-15	09:53:30.267	265287	Timeline1	Raw	1.102.15986	1080	1920	10,00	7,6		0,74		42		6402844958			442	225	425	189	460	262	-0,22711	-0,03175	-0,97335	-0,12757	-0,00614	-0,99181	2,75	2,85	Valid	Valid	148,8	166,3	553,5	212,2	167,5	548,8	77,6	34,5	84,1	47,8	0,1303	0,2752	0,1176	0,2491	0,1430	0,3012	bear_raindeer	bear_raindeer.jpg	1400	1400	260	-160	1400	1400	Fixation	17	4489	442	225	0,1303	0,2752	0	1	0	
