Recording	Participant	TOI	Interval	Bin	Bin_duration	Category	AOI	Category	Decision	Total_duration_of_fixations
Recording1	Participant 1	Burger	1	1	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	2	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	3	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	4	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	5	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	6	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	7	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	8	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Burger	1	9	1000	Meal	I would buy		I would buy	44
Recording1	Participant 1	Burger	1	10	426	Meal	I would buy		I would buy	418
Recording1	Participant 1	Burger	1	1	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	2	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	3	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	4	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	5	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	6	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	7	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	8	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	9	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	10	426	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Burger	1	1	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	2	1000	Meal	Ingredients	Ingredients		676
Recording1	Participant 1	Burger	1	3	1000	Meal	Ingredients	Ingredients		936
Recording1	Participant 1	Burger	1	4	1000	Meal	Ingredients	Ingredients		312
Recording1	Participant 1	Burger	1	5	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	6	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	7	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	8	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	9	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	10	426	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Burger	1	1	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Burger	1	2	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Burger	1	3	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Burger	1	4	1000	Meal	Nutrition Label	Nutrition Label		424
Recording1	Participant 1	Burger	1	5	1000	Meal	Nutrition Label	Nutrition Label		964
Recording1	Participant 1	Burger	1	6	1000	Meal	Nutrition Label	Nutrition Label		904
Recording1	Participant 1	Burger	1	7	1000	Meal	Nutrition Label	Nutrition Label		908
Recording1	Participant 1	Burger	1	8	1000	Meal	Nutrition Label	Nutrition Label		844
Recording1	Participant 1	Burger	1	9	1000	Meal	Nutrition Label	Nutrition Label		820
Recording1	Participant 1	Burger	1	10	426	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Burger	1	1	1000	Meal	Picture	Picture		756
Recording1	Participant 1	Burger	1	2	1000	Meal	Picture	Picture		188
Recording1	Participant 1	Burger	1	3	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	4	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	5	1000	Meal	Picture	Picture		0
